Field,Field Name,Module,Field Type,Field Size,Description,Parent,Child,Field Reference,Parent Value,Parent Inverse,Parent_Child_Rules,2010 Reference,2010 Field,2010 FieldName,2010 Module,2010 Description,Comment
196,VATGSTFB_FEE,CS,Number,"(10,2)","VAT/GST on the food and beverage:  What is the charge? (If not applicable, enter 0)",Y,,"P197, 198",,,,,NEW,VATGSTFB_FEE,,"VAT/GST on the food and beverage:  What is the charge? (If not applicable, enter 0)",NEW
197,VATGSTFB_UOM,CS,Text,1,"Is VAT/GST on food and beverage:  Percent or fixed amount? (P or F) (If this tax doesn't apply/exist, the answer should be ""N"").",,Y,196,"Number = 0, Number > 0",NO,"If Field 196 = 0, enter N.  If Field 196 >0, enter P or F",,NEW,VATGSTFB_UOM,,"Is VAT/GST on food and beverage a  Percent or fixed amount? (P or F) (If this tax doesn't apply/exist, the answer should be ""N"").",NEW
198,VATGSTFB_INCLUDE,CS,Y/N,1,"Is VAT/GST on food and beverage included in the negotiated rate? (Y or N) (If this tax doesn't apply/exist, the answer should be ""N"")",,Y,196,"Number = 0, Number > 0",NO,"If Field 196 = 0, enter N.  If Field 196 >0, enter Y or N",,NEW,VATGSTFB_INCLUDE,,"Is VAT/GST on food and beverage included in the negotiated rate? (Y or N) (If this tax doesn't apply/exist, the answer should be ""N"")",NEW
199,SERVICE_FEE,CS,Number,"(10,2)","Service/Resort Fees:   (If not applicable, enter 0)",Y,,"P200, 201",,,,,226,SERVICE_FEE,CS,"Service/Resort Fees:   (If not applicable, enter 0)",NO CHANGE
200,SERVICE_UOM,CS,Text,1,"Service/Resort Fees:  Percent or fixed amount? (P or F) (If this tax doesn't apply/exist, the answer should be ""N"").",,Y,199,"Number = 0, Number > 0",NO,"If Field 199 = 0, enter N.  If Field 199 >0, enter P or F",,227,SERVICE_UOM,CS,"Service/Resort Fees:  Percent or fixed amount? (P or F) (If this tax doesn't apply/exist, the answer should be ""N"").",NO CHANGE
201,SERVICE_INCLUDE,CS,Y/N,1,"Will you include service fee/resort fee in the negotiated rate? (Y or N) (If this fee doesn't apply/exist, the answer should be ""N"")",,Y,199,"Number = 0, Number > 0",NO,"If Field 199 = 0, enter N.  If Field 199 >0, enter Y or N",,225,SERVICE_INCLUDE,CS,"Will you include service fee/resort fee in the negotiated rate? (Y or N) (If this fee doesn't apply/exist, the answer should be ""N"")",NO CHANGE
202,OCC_FEE,CS,Number,"(10,2)","Occupancy Tax:   (If not applicable, enter 0)",Y,,"P203, 204",,,,,229,OCC_FEE,CS,"Occupancy Tax:   (If not applicable, enter 0)",NO CHANGE
203,OCC_UOM,CS,Text,1,"Occupancy Tax:  Percent or fixed amount? (P or F) (If this tax doesn't apply/exist, the answer should be ""N"").",,Y,202,"Number = 0, Number > 0",NO,"If Field 202 = 0, enter N.  If Field 202 >0, enter P or F",,230,OCC_UOM,CS,"Occupancy Tax:  Percent or fixed amount? (P or F) (If this tax doesn't apply/exist, the answer should be ""N"").",NO CHANGE
204,OCC_INCLUDE,CS,Y/N,1,"Will you include occupancy tax in the negotiated rate? (Y or N) (If this tax doesn't apply/exist, the answer should be ""N"")",,Y,202,"Number = 0, Number > 0",NO,"If Field 202 = 0, enter N.  If Field 202 >0, enter Y or N",,228,OCC_INCLUDE,CS,"Will you include occupancy tax in the negotiated rate? (Y or N) (If this tax doesn't apply/exist, the answer should be ""N"")",NO CHANGE
205,OTHERTX_FEE,CS,Number,"(10,2)","Other Tax/Fee (if not applicable, enter 0)",Y,,"P206, 207, 208",,,,,NEW,,,,
206,OTHERTX_FEE_UOM,CS,Text,1,"Other Tax/Fee: Percent or fixed amount?  (P or F) (If this tax doesn't apply/exist, the answer should be ""N"").",,Y,205,"Number = 0, Number > 0",NO,"If Field 205 = 0, enter N.  If Field 205 >0, enter P or F",,NEW,,,,
207,OTHERTX_FEE_DESC,CS,Text,50,Other Tax/Fee: Description,,Y,205,"Number = 0, Number > 0",NO,"If Field 205 = 0, enter NA.  If Field 205 >0, enter a Description",,NEW,,,,
208,OTHERTX_FEE_INCL,CS,Y/N,1,"Will you include Other Tax/Fee in the negotiated rate? (Y or N) (If this tax doesn't apply/exist, the answer should be ""N"")",,Y,205,"Number = 0, Number > 0",NO,"If Field 205 = 0, enter N.  If Field 205 >0, enter Y or N",,NEW,,,,
209,PARKATTEND,CS,Text,100,"Which of the following best describes parking at your hotel (Options: Parking Lot, Parking Garage, Valet, Street Side, Public, or None Available).",Y,,"P 210, 211, 306, 307, 308",,,,,401,PARKATTEND,SS,"Which describes your parking situation (select all that apply) Parking Lot, Parking Deck, Valet Parking, Street Side Parking",AMENDED
210,PARK_FEE,CS,Number,"(10,2)","What is the average cost for parking per car per day?  (If not applicable, enter 0)",,Y,209,None Available,,"If Field 209 = None Available, enter 0 here",,232,PARK_FEE,CS,"What is the average cost for parking per car per day?  (If not applicable, enter 0)",NO CHANGE
211,PARK_INCLUDE,CS,Y/N,1,Will you include the daily cost to park one car in negotiated rate?  (Y or N),,Y,209,None Available,NO,"If Field 209 = None Available, enter Y or N",,231,PARK_INCLUDE,CS,Will you include the daily cost to park one car in negotiated rate?  (Y or N),NO CHANGE
212,BREAK_INCLUDE,CS,Y/N,1,"Will you include breakfast in the negotiated rate?  (Y or N) (If not applicable, enter N)",Y,,"P213, 214",,,,,233,BREAK_INCLUDE,CS,"Will you include breakfast in the negotiated rate?  (Y or N) (if not applicable, the answer should be ""N"").",NO CHANGE
213,BREAK_FEE,CS,Number,"(10,2)",What is the average value of the included breakfast per person? If not included enter 0,,Y,212,"Y, N",NO,"If Field 212 = Y, enter a number >0. If Field 212 = N, enter 0",,234,BREAK_FEE,CS,"What is the average cost for breakfast per person?  (If not applicable enter, 0)",AMENDED
214,BREAK_TYPE,CS,Text,1,"What type of breakfast is included in the negotiated rate? ( C=Continental, B=Buffet, F=Full American, N=Not Included)",,Y,212,"Y, N",NO,"If Field 212 = Y, enter a number C, B or F. If Field 212 = N, enter N",,235,BREAK_TYPE,CS,"What type of breakfast is referenced in question 234? ( C=Continental, B=Buffet, F=Full American)",AMENDED
215,FITON_CENT,CS,Y/N,1,Fitness center available on-site? (Y or N),Y,,"P216, 217",,,,,318,FITON_CENT,SA,Fitness center available on-site? (Y or N),NO CHANGE
216,FITNESS_FEE_ON,CS,Number,"(10,2)","What is the average cost for the on-site fitness center per person?  (If not applicable, enter 0)",,Y,215,"Y, N",NO,"If Field 215 = Y, enter any number. If Field 215 = N, enter 0",,237,FITNESS_FEE_ON,CS,"What is the average cost for the on-site fitness center per person?  (If not applicable, enter 0.)",NO CHANGE
217,FITNESS_INCLUDE_ON,CS,Y/N,1,"Will you include use of the fitness center in the negotiated rate? (Y or N)  (If not applicable, enter N)",,Y,215,Y,NO,"If Field 215 = Y, enter Y or N. If Field 215 = N, enter N",,236,FITNESS_INCLUDE_ON,CS,"Will you include use of the fitness center in the negotiated rate? (Y or N)  If not applicable the answer should be ""N"",",NO CHANGE
218,LOCAL_PHONE_INCLUDE,CS,Y/N,1,Are local phone calls included in the negotiated rate?  (Y or N),,,,,,,,240,LOCAL_PHONE_INCLUDE,CS,Are local phone calls included in the negotiated rate?  (Y or N),NO CHANGE
219,TOLL_CARD_CALL_INCLUDE,CS,Y/N,1,Are toll free/calling card calls included in the negotiated rate?  (Y or N),,,,,,,,241,TOLL_CARD_CALL_INCLUDE,CS,Are toll free/calling card calls included in the negotiated rate?  (Y or N),NO CHANGE
220,HIGHSPEED_INROOM,CS,Y/N,1,Do you have a wired high speed internet connection in guest rooms? (Y or N),Y,,"P 2421, 222, 223",,,,,473,HIGHSPEED_INROOM,CT,Wired high-speed ethernet internet connection in guest rooms (other than internet browser on tv)?  (Y or N),AMENDED
221,HIGHSPEED_INROOM_NUM,CS,Number,"(4,0)","How many guest rooms have wired high speed internet connections? (if not applicable, enter 0)",,Y,220,"Y, N",NO,"If Field 220 = Y, enter any number >0. If Field 220 = N, enter 0",,474,HIGHSPEED_INROOM_NUM,CT,Number of guest rooms that have wired high-speed ethernet internet connection (other than web tv).,AMENDED
222,HSIA_FEE,CS,Number,"(10,2)","What is the average fee per day for wired high speed internet access in the guest room? (If not applicable, enter 0)",,Y,220,"Y, N",NO,"If Field 220 = Y, enter any number. If Field 220 = N, enter 0",,243,HSIA_FEE,CS,Wired High Speed Ethernet Internet Access (HSIA) fee charged to client in guest room:  Typical cost per day?  This is not data ports on telephones.,AMENDED
223,HSIA_INCLUDE,CS,Y/N,1,Is wired guest room high speed internet access included in negotiated room rate? (Y or N),,Y,220,"Y, N",NO,"If Field 220 = Y, enter Y or N. If Field 220 = N, enter N",,242,HSIA_INCLUDE,CS,Is Wired High Speed Ethernet Internet Access  (HSIA) fee charged to client included in guest room in negotiated rate? This is not data ports on telephones.  (Y or N),AMENDED
224,WIRELESS,CS,Y/N,1,Do you have a wireless high speed internet connection in guest rooms?,Y,,"P 225, 226, 227",,,,,476,WIRELESS,CT,Wireless high speed internet connection in guest rooms (other than tv based)?  (Y or N),AMENDED
225,WIRELESS_NUM,CS,Number,"(4,0)","How many guest rooms have wireless high speed internet connections? (if not applicable, enter 0)",,Y,224,"Y, N",NO,"If Field 224 = Y, enter any number >0. If Field 224 = N, enter 0",,477,WIRELESS_NUM,CT,Number of guest rooms that have a wireless high speed internet connection.,AMENDED
226,WIRELESS_FEE,CS,Number,"(10,2)","What is the average fee per day for wireless high speed internet access in the guest room? (If not applicable, enter 0)",,Y,224,"Y, N",NO,"If Field 224 = Y, enter any number. If Field 224 = N, enter 0",,245,WIRELESS_FEE,CS,Wireless High Speed Internet access (HSIA) fee charged to client in guest room:  Typical cost per day?  This is not data ports on telephones.,AMENDED
227,WIRELESS_INCLUDE,CS,Y/N,1,Is wireless guest room high speed internet access included in negotiated room rate? (Y or N),,Y,224,"Y, N",NO,"If Field 224 = Y, enter Y or N. If Field 224 = N, enter N",,244,WIRELESS_INCLUDE,CS,Is Wireless High Speed Internet  (HSIA) fee charged to client included in guest room in negotiated rate? This is not data ports on telephones.  (Y or N),AMENDED
228,AIRTRANS_FEE,CS,Number,"(10,2)",What is the average cost for transportation to and from airport?,,,,,,,,249,AIRTRANS_FEE,CS,What is the average cost for transportation to and from airport?,NO CHANGE
229,AIRTRANS_INCLUDE,CS,Y/N,1,Is transportation to/from airport included in negotiated rates?  (Y or N),Y,,230,,,,,248,AIRTRANS_INCLUDE,CS,Is transportation to/from airport included in negotiated rates?  (Y or N),NO CHANGE
230,AIRTRANS_DESCRIBE,CS,Text,50,"Describe transportation to/from airport included in negotiated rates. Examples include: Shuttle Van, Ride share service (bus or van), Private car, Taxi, or Train. (If not applicable, enter NA)",,Y,229,Y,NO,"I Field 229 = Y, enter a text response. If Field 229 = N, enter NA",,250,AIRTRANS_DESCRIBE,CS,Describe transportation to/from airport included in negotiated rates.,AMENDED
231,OFFTRANS_INCLUDE,CS,Y/N,1,Is transportation to/from local client office included in negotiated rates?  (Y or N),,,,,,,,251,OFFTRANS_INCLUDE,CS,Is transportation to/from local client office included in negotiated rates?  (Y or N),NO CHANGE
232,RATE_SUBS,CS,Y/N,1,Are client negotiated rates available to subsidiary employees with proper identification?  (Y or N),,,,,,,,254,RATE_SUBS,CS,Are client negotiated rates available to subsidiary employees with proper identification?  (Y or N),NO CHANGE
233,RATE_PERSO,CS,Y/N,1,Are client negotiated rates available for client employee's with proper identification for personal use ? (Y or N),,,,,,,,255,RATE_PERSO,CS,Are client negotiated rates available for client employee's with proper identification for personal use ? (Y or N),NO CHANGE
234,RATE_CONSU,CS,Y/N,1,Are client negotiated rates available to client employed contractors/consultants with proper identification? (Y or N),,,,,,,,256,RATE_CONSU,CS,Are client negotiated rates available to client employed contractors/consultants with proper identification? (Y or N),NO CHANGE
235,RATE_RETIR,CS,Y/N,1,Are client negotiated rates available to retirees with proper identification?  (Y or N),,,,,,,,257,RATE_RETIR,CS,Are client negotiated rates available to retirees with proper identification?  (Y or N),NO CHANGE
236,RFP_CONTRACT,CS,Y/N,1,"By checking yes to this box, the property/chain representative submits that the information here is correct and binding for the length of the agreement. (Y or N)",,,,,,,,258,RFP_CONTRACT,CS,"By checking yes to this box, the property/chain representative submits that the information here is correct and binding for the length of the agreement. (Y or N)",NO CHANGE
237,RFP_NAME,CS,Text,50,Property/Chain/Management Representative Name Responsible for the RFP data,,,,,,,,268,RFP_NAME,CS,Property/Chain/Management Representative Name Responsible for the RFP data,NO CHANGE
238,RFP_TITLE,CS,Text,50,Title of Property/Chain/Management Representative Name Responsible for the RFP data,,,,,,,,269,RFP_TITLE,CS,Title of Property/Chain/Management Representative Name Responsible for the RFP data,NO CHANGE
239,RFP_PHONECOUNTRYCODE,CS,Text,6,Country Code of Property/Chain/Management Representative Name Responsible for the RFP data,,,,,,,,270,RFP_PHONECOUNTRYCODE,CS,Country Code of Property/Chain/Management Representative Name Responsible for the RFP data,NO CHANGE
240,RFP_PHONECITYCODE,CS,Text,6,City Code of Property/Chain/Management Representative Name Responsible for the RFP data,,,,,,,,271,RFP_PHONECITYCODE,CS,City Code of Property/Chain/Management Representative Name Responsible for the RFP data,NO CHANGE
241,RFP_PHONE,CS,Text,10,Phone Number of Property/Chain/Management Representative Name Responsible for the RFP data,,,,,,,,272,RFP_PHONE,CS,Phone Number of Property/Chain/Management Representative Name Responsible for the RFP data,NO CHANGE
242,RFP_EMAIL,CS,Text,150,Email address of Property/Chain/Management Representative Name Responsible for the RFP data,,,,,,,,273,RFP_EMAIL,CS,Email address of Property/Chain/Management Representative Name Responsible for the RFP data,NO CHANGE
243,RFP_DATESUBMIT,CS,Date,10,Date RFP was submitted. Use ISO 8601 format - Example: 2011-12-31,,,,,,,,274,RFP_DATESUBMIT,CS,Date RFP was submitted. Use date format MM/DD/YYYY.,AMENDED
244,USERDEFINED1,CS,Text,100,User Defined Field,,,,,,,,275,USERDEFINED1,CS,User Defined Field,NO CHANGE
245,USERDEFINED2,CS,Text,100,User Defined Field,,,,,,,,276,USERDEFINED2,CS,User Defined Field,NO CHANGE
246,USERDEFINED3,CS,Text,100,User Defined Field,,,,,,,,277,USERDEFINED3,CS,User Defined Field,NO CHANGE
247,USERDEFINED4,CS,Text,100,User Defined Field,,,,,,,,278,USERDEFINED4,CS,User Defined Field,NO CHANGE
248,USERDEFINED5,CS,Text,100,User Defined Field,,,,,,,,279,USERDEFINED5,CS,User Defined Field,NO CHANGE
249,USERDEFINED6,CS,Text,100,User Defined Field,,,,,,,,280,USERDEFINED6,CS,User Defined Field,NO CHANGE
250,USERDEFINED7,CS,Text,100,User Defined Field,,,,,,,,281,USERDEFINED7,CS,User Defined Field,NO CHANGE
251,USERDEFINED8,CS,Text,100,User Defined Field,,,,,,,,282,USERDEFINED8,CS,User Defined Field,NO CHANGE
252,USERDEFINED9,CS,Text,100,User Defined Field,,,,,,,,283,USERDEFINED9,CS,User Defined Field,NO CHANGE
253,USERDEFINED10,CS,Text,100,User Defined Field,,,,,,,,284,USERDEFINED10,CS,User Defined Field,NO CHANGE
254,USERDEFINED11,CS,Text,100,User Defined Field,,,,,,,,285,USERDEFINED11,CS,User Defined Field,NO CHANGE
255,USERDEFINED12,CS,Text,100,User Defined Field,,,,,,,,286,USERDEFINED12,CS,User Defined Field,NO CHANGE
256,USERDEFINED13,CS,Text,100,User Defined Field,,,,,,,,287,USERDEFINED13,CS,User Defined Field,NO CHANGE
257,USERDEFINED14,CS,Text,100,User Defined Field,,,,,,,,288,USERDEFINED14,CS,User Defined Field,NO CHANGE
258,USERDEFINED15,CS,Text,100,User Defined Field,,,,,,,,289,USERDEFINED15,CS,User Defined Field,NO CHANGE
259,USERDEFINED16,CS,Text,100,User Defined Field,,,,,,,,290,USERDEFINED16,CS,User Defined Field,NO CHANGE
260,USERDEFINED17,CS,Text,100,User Defined Field,,,,,,,,291,USERDEFINED17,CS,User Defined Field,NO CHANGE
261,USERDEFINED18,CS,Text,100,User Defined Field,,,,,,,,292,USERDEFINED18,CS,User Defined Field,NO CHANGE
262,USERDEFINED19,CS,Text,100,User Defined Field,,,,,,,,293,USERDEFINED19,CS,User Defined Field,NO CHANGE
263,USERDEFINED20,CS,Text,100,User Defined Field,,,,,,,,294,USERDEFINED20,CS,User Defined Field,NO CHANGE
264,USERDEFINED21,CS,Text,100,User Defined Field,,,,,,,,295,USERDEFINED21,CS,User Defined Field,NO CHANGE
265,USERDEFINED22,CS,Text,100,User Defined Field,,,,,,,,296,USERDEFINED22,CS,User Defined Field,NO CHANGE
266,USERDEFINED23,CS,Text,100,User Defined Field,,,,,,,,297,USERDEFINED23,CS,User Defined Field,NO CHANGE
267,USERDEFINED24,CS,Text,100,User Defined Field,,,,,,,,298,USERDEFINED24,CS,User Defined Field,NO CHANGE
268,USERDEFINED25,CS,Text,100,User Defined Field,,,,,,,,299,USERDEFINED25,CS,User Defined Field,NO CHANGE
269,USERDEFINED26,CS,Text,100,User Defined Field,,,,,,,,300,USERDEFINED26,CS,User Defined Field,NO CHANGE
270,USERDEFINED27,CS,Text,100,User Defined Field,,,,,,,,301,USERDEFINED27,CS,User Defined Field,NO CHANGE
271,USERDEFINED28,CS,Text,100,User Defined Field,,,,,,,,302,USERDEFINED28,CS,User Defined Field,NO CHANGE
272,USERDEFINED29,CS,Text,100,User Defined Field,,,,,,,,303,USERDEFINED29,CS,User Defined Field,NO CHANGE
273,USERDEFINED30,CS,Text,100,User Defined Field,,,,,,,,304,USERDEFINED30,CS,User Defined Field,NO CHANGE
274,IN_SAFE,SS,Y/N,1,In-room safe?  (Y or N),Y,,P275,,,,,355,IN_SAFE,SA,In-room safe?  (Y or N),NO CHANGE
275,LAPTOP_SAFE,SS,Y/N,1,"Can in room safe hold a 17 inch or 43.2 cm laptop computer? (Y or N). (If not applicable, enter N)",,Y,274,"Y, N",NO,"If Field 274 = Y, enter Y or N. If Field 274 = N, enter N",,356,LAPTOP_SAFE,SA,Can In room safe hold a standard size laptop?,AMENDED
276,ROOMSMKDET,SS,Y/N,1,Do all guest rooms have smoke detectors? (Y or N),,,,,,,,371,ROOMSMKDET,SS,Do all guest rooms have smoke detectors?  (Y or N),NO CHANGE
277,HALLSMKDET,SS,Y/N,1,Are all hallways equipped with smoke detectors?  (Y or N),,,,,,,,372,HALLSMKDET,SS,"Are hallways equipped with smoke detectors?  (Y, N, or NA)",AMENDED
278,PUBSMKDET,SS,Y/N,1,Are all public areas equipped with smoke detector? (Y or N),,,,,,,,373,PUBSMKDET,SS,"Are public areas equipped with smoke detectors?  (Y, N, or NA)",AMENDED
279,HRDWIREDET,SS,Y/N,1,"Are all smoke detectors hard-wired?  (Y or N) (If not applicable, enter N)",,,,,,,,374,HRDWIREDET,SS,Are smoke detectors hard-wired?  (Y or N),AMENDED
280,FIRE_EXTIN,SS,Y/N,1,Are all public areas equipped with fire extinguishers?  (Y or N),,,,,,,,375,FIRE_EXTIN,SS,"Are hallways equipped with fire extinguishers?  (Y, N, or NA)",AMENDED
281,EMRGCYLITE,SS,Y/N,1,Does the hotel have emergency lighting in all public areas?  (Y or N),,,,,,,,376,EMRGCYLITE,SS,Does hotel have emergency lighting?  (Y or N),AMENDED
282,VENT_STAIR,SS,Y/N,1,Are all hotel stairways ventilated? (Y or N),,,,,,,,377,VENT_STAIR,SS,"Are hotel stairways ventilated?  (Y, N, or NA)",AMENDED
283,EVACPLAN,SS,Y/N,1,Does hotel have an emergency evacuation plan posted in public areas?  (Y or N),,,,,,,,378,EVACPLAN,SS,"Does hotel have an emergency evacuation plan posted in public areas?  (Y, N, or NA)",AMENDED
284,FIRELAWS,SS,Y/N,1,Does the hotel comply with all country/state/local fire laws? (Y or N),,,,,,,,379,FIRELAWS,SS,Does hotel comply with country/state/local fire laws?  (Y or N),AMENDED
285,VIS_ALARM,SS,Y/N,1,Does the hotel have visual alarms for the Deaf/Hard of Hearing in all guest rooms or does the hotel have designated Deaf/Hard of Hearing guest rooms with visual alarms? (Y or N),,,,,,,,380,VIS_ALARM,SS,Does hotel have visual alarms for the Deaf/Hard of Hearing in guest rooms? (Y or N),AMENDED
286,HALLVIS_ALARM,SS,Y/N,1,Does the hotel have visual alarms for the Deaf/Hard of Hearing in all public hallways?  (Y or N),,,,,,,,381,HALLVIS_ALARM,SS,"Does hotel have visual alarms for the Deaf/Hard of Hearing in hallways?  (Y, N, or NA)",AMENDED
287,PUBVIS_ALARM,SS,Y/N,1,Does the hotel have visual alarms for the Deaf/Hard of Hearing in all public areas? (Y or N),,,,,,,,382,PUBVIS_ALARM,SS,"Does hotel have visual alarms for the Deaf/Hard of Hearing in public areas?  (Y, N, or NA)",AMENDED
288,AUD_ALARM,SS,Y/N,1,Does the hotel have audible smoke alarms in all guest rooms? (Y or N),,,,,,,,383,AUD_ALARM,SS,Does hotel have audible smoke alarms in guest room? (Y or N),AMENDED
289,HALLAUD_ALARM,SS,Y/N,1,Does hotel have audible smoke alarm in all hallways?   (Y or N),,,,,,,,384,HALLAUD_ALARM,SS,"Does hotel have audible smoke alarm in hallways?   (Y, N, or NA)",AMENDED
290,PUBAUD_ALARM,SS,Y/N,1,Does the hotel have audible smoke alarms in all public areas?  (Y or N),,,,,,,,385,PUBAUD_ALARM,SS,"Does hotel have audible smoke alarm in public areas?  (Y, N, or NA)",AMENDED
291,ROOMSPRINK,SS,Y/N,1,Are all guest rooms equipped with sprinklers?  (Y or N),,,,,,,,386,ROOMSPRINK,SS,Are all guest rooms equipped with sprinklers?  (Y or N),NO CHANGE
292,HALLSPRINK,SS,Y/N,1,Are all hallways equipped with sprinklers?  (Y or N),,,,,,,,387,HALLSPRINK,SS,"Are all hallways equipped with sprinklers?  (Y, N, or NA)",AMENDED
293,PUBSPRINK,SS,Y/N,1,Are all public areas equipped with sprinklers?  (Y or N),,,,,,,,388,PUBSPRINK,SS,"Are all public areas equipped with sprinklers?  (Y, N, or NA)",AMENDED
294,EMRGCYINFO,SS,Y/N,1,Do all guest rooms have emergency information posted/available? (Y or N)?,,,,,,,,389,EMRGCYINFO,SS,Do guest rooms have emergency information posted/available?  (Y or N),AMENDED
295,FIRE_LINK,SS,Y/N,1,Is hotel auto linked to fire station? (Alarm automatically notifies fire station)  (Y or N),,,,,,,,390,FIRE_LINK,SS,Is hotel auto linked to fire station? (Alarm automatically notifies fire station)  (Y or N),NO CHANGE
296,MULT_EXITS,SS,Y/N,1,Are there emergency exits for each floor?  (Y or N),,,,,,,,391,MULT_EXITS,SS,"Are there emergency exits for each floor?  (Y, N, or NA)",AMENDED
297,AUTO_RECAL,SS,Text,2,"Does the hotel have auto recall elevators?   Example: elevators that automatically return to the ground floor when an emergency alarm is triggered.  (Y, N, or NA)",,,,,,,,392,AUTO_RECAL,SS,"Does hotel have auto recall elevators?  (Y, N, or NA)",AMENDED
298,SECURITY,SS,Y/N,1,Does the hotel have physical security on-site?  (Y or N),Y,,P299,,,,,393,SECURITY,SS,Does hotel have security on-site?  (Y or N),AMENDED
299,SECUR_HRS,SS,Text,25,"If yes, what are the hours of operation? (Please use 24h clock ex: 00:00 - 23:59)  (If No, enter hours 00:00 - 00:00)",,Y,298,"Y, N",NO,"If Field 298 = Y, enter hours. If Field 298 = N, enter 00:00 - 00:00",,394,SECUR_HRS,SS,"If yes, what are the hours of operation? (Please use 24h clock ex:00:00 - 23:59)  If No, enter hours 00:00 - 00:00",NO CHANGE
300,DEADBOLTS,SS,Y/N,1,Do all guest room doors have deadbolts and/or secondary locks?  (Y or N),,,,,,,,395,DEADBOLTS,SS,Do guest room doors have deadbolts and/or secondary locks?  (Y or N),AMENDED
301,INT_ACCESS,SS,Y/N,1,Are all guest rooms accessed only by interior entrances?  (Y or N),,,,,,,,397,INT_ACCESS,SS,Are guest rooms accessed by interior entrances?  (Y or N),AMENDED
302,DOORS_CLOSE,SS,Y/N,1,Are all entry doors to the guest rooms self-closing?  (Y or N),,,,,,,,400,DOORS_CLOSE,SS,Are guest room doors self closing?  (Y or N),AMENDED
303,OPEN_WINDOWS,SS,Y/N,1,Do all windows that can be opened have a locking device? (Y or N),,,,,,,,398,OPEN_WINDOWS,SS,"Are there locking devices on windows that open?  (Y or N)  If the windows do not open, answer Y.",AMENDED
304,PUBADDRESS,SS,Y/N,1,Does the hotel have a public address system?  (Y or N),,,,,,,,396,PUBADDRESS,SS,Does hotel have public address system?  (Y or N),NO CHANGE
305,SAFE_CODES,SS,Y/N,1,"Does the building meet all current local, state and country building codes?  (Y or N)",,,,,,,,399,SAFE_CODES,SS,"Does building meet all current local, state and country building codes?  (Y or N)",NO CHANGE
306,PARKGATES,SS,Text,2,"Are there controlled access gates to enter all parking areas?  (Y, N or NA)",,Y,209,None Available,NO,"If field 209 = None Available, enter NA. for all other responses, enter Y or N",,402,PARKGATES,SS,"Are there controlled access gates to enter the parking area?  (Y, N, or NA)",NO CHANGE
307,PARKPATROL,SS,Text,2,"Are all parking areas patrolled?  (Y, N, or NA)",,Y,209,None Available,NO,"If field 209 = None Available, enter NA. for all other responses, enter Y or N",,403,PARKPATROL,SS,"Are parking areas patrolled?  (Y, N, or NA)",NO CHANGE
308,PARKLIGHTS,SS,Text,2,"Are all the parking areas equipped with lights? (Y, N or NA)",,Y,209,None Available,NO,"If field 209 = None Available, enter NA. for all other responses, enter Y or N",,404,PARKLIGHTS,SS,"Is the parking area equipped with lights? (Y, N, or NA)",NO CHANGE
309,PUBCAMERA,SS,Y/N,1,Is there video surveillance in all public areas?   (Y or N),,,,,,,,405,PUBCAMERA,SS,"Is there video surveillance in public areas?   (Y, N, or NA)",AMENDED
310,PARK_FR_ENT,SS,Y/N,1,Is there video surveillance of the exterior front entrance? (Y or N) ,,,,,,,,406,PARK_FR_ENT,SS,"Is there video surveillance of the exterior of the front entrance? (Y, N, or NA) ",AMENDED
311,PARK_CAMERA,SS,Text,2,"Is there video surveillance of all parking areas? (Y, N, or NA) ",,,,,,,,407,PARK_CAMERA,SS,"Is there video surveillance of the parking areas? (Y, N, or NA) ",AMENDED
312,CAMERA_REC_24HR,SS,Text,2,"Is video surveillance recorded 24 hrs a day? (Y, N, or NA ) ",,,,,,,,408,CAMERA_REC_24HR,SS,"Is video surveillance recorded 24 hrs a day? (Y, N, or NA ) ",NO CHANGE
313,CAMERA_MONT_24HR,SS,Text,2,"Is video surveillance monitored 24 hrs a day? (Y, N, or NA)",,,,,,,,409,CAMERA_MONT_24HR,SS,"Is video surveillance monitored 24 hrs a day? (Y, N, or NA)",NO CHANGE
314,VIEWPORTS,SS,Y/N,1,Do all the guest room entry doors have viewports?  (Y or N),,,,,,,,410,VIEWPORTS,SS,Do guest room doors have viewports?  (Y or N),AMENDED
315,BACK_UP,SS,Y/N,1,Are there emergency back-up generators? (Y or N),,,,,,,,411,BACK_UP,SS,Are there emergency back-up generators? (Y or N),NO CHANGE
316,EXT_DOOR_KEY_ACCESS,SS,Y/N,1,Do all of the exterior doors (except lobby entrance) of the facility require key access at night or automatically lock? (Y or N),,,,,,,,413,EXT_DOOR_KEY_ACCESS,SS,Do the exterior doors (except lobby entrance) of the facility require key access at night or automatically lock? (Y or N),AMENDED
317,STAFF_AID,SS,Y/N,1,Is hotel staff trained in first aid?  (Y or N),,,,,,,,414,STAFF_AID,SS,Is hotel staff trained in first aid?  (Y or N),NO CHANGE
318,STAFF_CPR_TRAIN,SS,Y/N,1,Is hotel staff trained in cardio pulmonary resuscitation (CPR)?  (Y or N),,,,,,,,415,STAFF_CPR_TRAIN,SS,Is hotel staff trained in cardio pulmonary resuscitation (CPR)?  (Y or N),NO CHANGE
319,STAFF_CPR_CERT,SS,Y/N,1,Is hotel staff Red Cross Certified in CPR?  (Y or N),,,,,,,,416,STAFF_CPR_CERT,SS,Is hotel staff Red Cross Certified in CPR?  (Y or N),NO CHANGE
